"for myeloid_all, the only filter will be on the 520 channel (ie no filter applied to the remaining channels). For myeloid_other, the filter will be 520 >= 3 and the rest of the channels = 0",,,,
520-CSF1R,570-RNASE1,620-CD300E,690-CD36,Cell-Type
>2,NA,NA,NA,myeloid_all
>2,<2,>2,<2,myeloid_CM0_subtype
>2,<2,>2,>2,myeloid_CM1_subtype
>2,>2,<2,<2,myeloid_CM4_subtype
>2,<2,<2,<2,myeloid_other
,,,,
Filters:,,,,
All CMs:,,,,
Level 1: 620+,,,,
Level 2: And 570+ or 620+ or 690+,,,,
CM0:,,,,
Level 1: 620+,,,,
Level 2: And 520+,,,,
CM1:,,,,
Level 1: 620+,,,,
Level 2: And 690+,,,,
CM4,,,,
Level 1: 620+,,,,
Level 2: And 570+,,,,